,Adenia heterophylla,Aleurites rockinghamensis,Archontophoenix alexandrae,Archontophoenix alexandrae,Ardisia pachyrrhachis,Ardisia pachyrrhachis,Cardwellia sublimis,Castanospermum australe,Clerodendrum tracyanum,Crotalaria sp.,Cryptocarya hypospodia,Cryptocarya murrayi,Dysoxylum pettigrewianum,Dysoxylum mollissimum subsp. molle,Dysoxylum papuanum,Elaeocarpus angustifolius,Embelia caulialata,Endospermum myrmecophilum,Entada phaseoloides,Euodia sp.,Ficus septica,Flagellaria indica,Glochidion philippicum,Homalanthus novoguineensis,Ichnocarpus frutescens,Ipomoea indica,Jasminum didymum,Licuala ramsayi,Macaranga involucrata subsp. mallotoides,Macaranga tanarius,Mallotus mollissimus,Mallotus paniculatus,Merremia peltata,Mucuna gigantea,Neosepicaea jucunda,Normanbya normanbyi,Pachygone longifolia,Passiflora sp. indet.,Rockinghamia angustifolia,Rockinghamia angustifolia,unidentified liana,Smilax cf. australis,Stephania japonica,Syzygium ‘erythrocalyx’,Syzygium cormiflorum,Syzygium gustavioides,Syzygium sayeri,Toona ciliata,Trichosanthes pentaphylla,Urena lobata,Wrightia laevis subsp. millgar,,,,
Anonychomyrma gilberti,1,0,0,0,1,0,1,2,0,0,0,0,1,0,0,2,1,0,8,0,0,12,1,3,3,0,0,1,4,0,0,0,10,0,0,0,0,0,2,0,0,0,0,8,0,1,1,0,0,0,0,,,,
"Camponotus spp. 'nocturnal' (novae-hollandiae gp., macrocephalus)",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Camponotus vitreus,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,2,0,0,0,7,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,
Camponotus sp.1 (macrocephalus gp.),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Camponotus sp.6 (gasseri gp.),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Crematogaster aff. fusca,0,0,0,0,6,1,0,2,1,0,0,1,2,0,0,0,0,1,4,0,3,17,1,3,1,6,1,0,6,0,2,0,12,0,0,1,0,0,2,0,0,1,0,4,0,0,0,0,2,0,1,,,,
Crematogaster aff. pythia,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,1,0,3,0,1,9,1,0,1,11,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,,,,
Crematogaster sp.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,
Echinopla australis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Leptomyrmex unicolor,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,1,1,0,0,2,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Monomorium fieldi var. laeve nigrius,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Monomorium floricola,1,0,0,0,2,0,0,0,0,0,0,2,1,1,0,0,0,0,1,0,0,4,0,2,0,3,0,0,3,0,0,0,4,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,,,,
Odontomachus cephalotes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Oecophylla smaragdina,2,0,0,2,0,0,2,1,0,0,1,1,0,0,2,1,0,0,12,0,0,16,0,0,0,0,1,4,3,0,0,0,24,0,0,5,2,1,0,1,1,5,0,1,1,0,0,1,1,0,2,,,,
Paratrechina vaga gp.,0,1,0,0,3,0,0,0,0,1,0,0,2,0,0,0,0,3,0,0,0,3,0,8,0,2,0,0,7,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Paratrechina minutula gp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Monomorium cf. intrudens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Pheidole aff. impressiceps,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,
Pheidole aff. platypus,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,4,0,5,0,1,0,0,8,0,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Pheidole sp.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Podomyrma sp.1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Polyrhachis (Cyrtomyrma) 'Cyrto NB5041’,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,
Polyrhachis (Hedomyrma) cupreata,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Polyrhachis (Myrmothrinax) delicata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Polyrhachis (Myrma) foreli,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,1,1,0,5,1,1,2,1,0,0,0,12,0,0,6,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,,,,
Polyrhachis (Myrmhopla) mucronata,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Polyrhachis (Hagiomyrma) thusnelda,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
